id,category,name,weight,price,description
11,Guns,10mm round, 0.033, 2,"A medium caliber, high velocity auto-pistol round manufactured before the Great War."
12,Guns,12.7mm round, 0.064, 3,"The Hauer Premium Show Stopper 12.7mm civic defense round is a consumer-grade pistol round of identical bullet diameter to the military-grade .50 caliber, but less powerful. While it shares the same bullet diameter, the cartridge case is much shorter, holding far less powder than the full-sized .50 machinegun cartridge, facilitating use in auto-loading pistols and submachine guns."
13,Guns,12 gauge shotgun shell, 0.075, 2,"The Purebore Buckslayer Sure Shot 12 gauge shotgun shell is a large bore shotshell available in various buckshot loads and slugs. A specialized beanbag shell also exists for pacifist players, as well as coin shot shells. The add-on Gun Runners' Arsenal introduces 5 new varieties: 4/0 buckshot, 4/0 buckshot magnum, flechette, pulse slugs and fire damage dealing dragon's breath shells."
14,Guns,20 gauge shotgun shell, 0.065, 1,"Masterson low recoil/max power 20 gauge shotgun shells are very similar to their larger, better known cousins, 12 gauge shotgun shells. Smaller in bore size, they have lighter powder loads and a smaller amount of shot, resulting in lower recoil and reduced target effect. 20 gauge shotshells consist of a plastic hull loaded with pistol powder and using multiple projectiles or a single slug."
15,Explosives,25mm grenade, 0.25, 8,"This is standard ammunition for the Grenade machinegun. All varieties explode on impact except the timed, which explodes about five seconds after launch, bouncing off things it hits earlier. They deal 50 damage in a radius of 8.59 yards (7.85 meters)."
16,Explosives,40mm grenade, 0.5, 12,"This is a projectile that is fired from 40mm grenade launchers. They are much bigger than 25mm grenades, making them heavier and harder to fire at great speed. They deal 100 damage in a radius of 11.72 yards (10.72 meters)."
17,Explosives,Missile, 1.5, 50,"Guided explosives used by the missile launcher. Due to an engine bug, all non-hitscan projectiles such as Missiles do no impact damage outside of VATS."
18,Explosives,Mini nuke, 3, 250,"Mini nukes are much less common in Fallout: New Vegas than in Fallout 3: there are only 14 in the base game (12 with the Wild Wasteland trait). They weigh 3 pounds each in Hardcore mode and are shaped like the WWII atomic bomb ""Fat Man."" Their explosion is powerful, causing a characteristic mushroom cloud and leaving residual radioactivity, initially 40 rads/sec., but which quickly drops to low levels that linger for quite a while. The Lonesome Road add-on introduces the possibility of mini nukes randomly spawning in duffle bags and other containers. Due to their rarity and effectiveness, mini nukes are the most valuable ammunition type in game."
19,Explosives,Rocket, 0.25, 25,"A self propelled projectile armed with a high explosive charge, these are used by the Divide's signature weapon, the Red Glare."
20,Energy Weapons,Alien power cell, 0.02, 10,"These are only obtainable if the Wild Wasteland trait is active (if Wild Wasteland is not active, hostile mercenaries with the YCS/186 unique Gauss rifle will be there instead). The alien captain will drop up to around 222 alien power cells along with the alien blaster."
21,Energy Weapons,Electron charge pack, 0.025, 1,"These small electron batteries are used as ammunition by several energy weapons. Unlike energy cells and microfusion cells, they are used to power rapid firing energy weapons, as well as Tesla weaponry. "
22,Energy Weapons,Energy cell, 0.078, 2,"Energy cells are small, self-contained energy storage units often associated with one-handed energy weapons and act essentially as a very powerful battery or capacitor. They are the standard ammunition used by the majority of pistol-sized energy weapons, and as such are widely available across the Mojave Wasteland."
23,Energy Weapons,Flamer fuel, 0.0200.025, 1,A mixture of petro-chemicals and other flammable compounds for use in specialty flamethrowers.
24,Energy Weapons,Microfusion cell, 0.1, 3,"The microfusion cell model No. 1040 MFC, a medium-sized energy production unit, is a self-contained fusion plant with an output of 1040.8 VDC used as ammunition for energy weapons. It is the primary energy source for rifle-type energy weapons, and is commonly available within the Mojave Wasteland. Microfusion cells are more powerful than energy cells, but are less capable of rapid discharge than electron charge packs. Microfusion cells can also be rigged into improvised grenade weapons."
25,Energy Weapons,Microfusion breeder, 0, 0,"A specially designed kind of energy cell that is unique in that it is not a physical object that can be gathered like other ammunition. Found only in Recharger weapons, these energy cells replenish their reserves over time, essentially providing infinite ammunition. Like other Energy weapon ammunition, it negates 2 points of Enemy DT. Unlike other power sources, however, it cannot be overcharged to deal extra damage."
